period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_true,0.5
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_true,0.5
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_BMSY_fixed,1
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_true,0.99
tot,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,propl_UMSY_fixed,0.99
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bmn,491.7710884754529
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Bcv,0.04203646050827012
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcm,2944.042373451374
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hcv,0.09148271829625478
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Hrmn,0.12242846526192037
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcm,2295.7175885512934
pre,slope,SQ,K,step,decrease,1.2,400,50,0.01,NA,NA,NA,Rcv,0.11155118791262232
