period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,500
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,4312.5
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,3099.5997800319374
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.19983441895674978
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,177.00578822444407
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0.541647973802021
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,732.5755840420254
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0.5898453869542127
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,326.5442529760754
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.6957972875830509
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,0.6774193548387096
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0.9354838709677419
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,ACA,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,419.90739527818033
