period,hcr_type,strategy,change_par,change_type,direction,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
pre,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,233.25366271263832,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.2934170460240821,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1524.4732817932834,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.3252658916622602,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,752.8756677562491,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.4867308209141633,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
post,slope,ACA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,405.1391480765281,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.24226574719674723,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,4205.0363385631035,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.5119436630991764,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.09598098374563716,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2976.179310752552,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.6849885398251956,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
tot,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
pre,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,313.9983295618198,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.13448861559549624,1000,-60
