period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.5714285714285714,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.5918367346938775,1000,-75
pre,slope,update_4,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.5918367346938775,1000,-75
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bmn,210.95490898034743,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bcv,0.2133072519159299,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcm,910.9696722147088,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcv,0.206081733905688,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hrmn,0.09259115239651552,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcm,718.0454417955268,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcv,0.26277681192255165,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,N_neg,0,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_true,0.9591836734693877,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.12244897959183673,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8571428571428571,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_true,0.7551020408163265,250,300
pre,slope,update_10,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.7551020408163265,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bmn,220.26175885989744,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bcv,0.2215883171062348,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcm,919.5392575662802,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcv,0.18735998275354288,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hrmn,0.08978716613351549,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcm,722.6269333901896,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcv,0.2375457923017833,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,N_neg,0,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_true,0.9591836734693877,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.04081632653061224,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8571428571428571,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0,250,300
